test_date,category,original_clue,answer,question,use_question,answer_short
2018-03-06,African-American Literature,"Works by this Nobel Prize winner include ""Song of Solomon"" and ""Beloved""",Toni Morrison,"Which Nobel-Prize-winning author's works include ""Song of Solomon"" and ""Beloved""?",,
2018-03-06,Rhyme Time,An excuse for betraying your government,treason reason,,,
2018-03-06,Anatomy,Nerve cells called these send information to the brain and spinal cord,sensory neurons,Which nerve cells send information to the brain and spinal cord?,,
2018-03-06,American History,In 1852 Winfield Scott was the last presidential candidate of this party that no longer exists,Whig,"In 1852, Winfield Scott was the last presidential candidate from what no-longer-existing political party?",,
2018-03-06,Colorful Terms,It's the colorful term for a misleading clue in a murder mystery,red herring,,,
2018-03-06,Lakes & Rivers,Florence and Pisa lie on the banks of this river with a 4-letter name,Arno,Florence and Pisa lie along what Italian river?,1,
2018-03-06,The Bible,"Of this New Testament man, it was said that ""his meat was locusts and wild honey""",John the Baptist,"What New Testament man's ""meat was locusts and wild honey""?",1,
2018-03-06,Websites,"After a frustrating day of shoe shopping at the mall, Nick Swinmurn founded this website",Zappos,Nick Swinmurn founded what website after a frustrating day of shoe shopping at the mall?,,
2018-03-06,Bestsellers,In 2 weeks Paulo Coelho wrote this mega-bestseller about a shepherd boy and his dream,The Alchemist,,,
2018-03-06,Famous Women,"Formerly manager of Donald Trump's campaign, she became counselor to the president",Kellyanne Conway,,,
2018-03-06,Song Lyrics,"3-word Prince title that follows ""Why do we scream at each other, this is what it sounds like...""",When Doves Cry,,,
2018-03-06,The 1990s,A 1990-91 war in the Middle East was fought in Iraq and this oil-rich nation next door,Kuwait,A 1990-91 war in the Middle East was fought in Iraq and what neighboring oil-rich nation?,1,
2018-03-06,6-Letter Words,"This part of speech tells where, when, and how much",adverb,,,
2018-03-06,Shakespeare,"The most famous speech in ""As You Like It"" says, ""All the world's"" this",a stage,,,
2018-03-06,US State Capitals,This state capital lies at the southern end of Puget Sound,Olympia,What US state capital lies at the southern end of Puget Sound?,1,
2018-03-06,Chemistry Lab,"Used in making alcoholic beverages, it's the process of boiling a liquid and then condensing the vapor",distillation,What process of boiling a liquid and then condensing the vapor is used in making some alcoholic beverages?,1,
2018-03-06,Music Makers,"This blind tenor from Italy blends arias with modern music in a style dubbed ""popera""",Andrea Bocelli,"Which blind tenor from Italy blends arias with modern music in a style dubbed ""popera""?",1,Bocelli
2018-03-06,Ad Slogans,"""When you care enough to send the very best"", send this brand",Hallmark,,,
2018-03-06,Superhero TV,"Krysten Ritter plays her, kicking some butt on Marvel's ""Defenders""",Jessica Jones,"Krysten Ritter plays what superhero in Marvel's ""Defenders""?",,
2018-03-06,Women Authors,"""Y is for Yesterday"" is the last in a series of bestselling mysteries by this author",Sue Grafton,"""Y is for Yesterday"" is the last in what author's series of bestselling mysteries?",1,Grafton
2018-03-06,Asian Geography,"Rangoon, aka Yangon, is this country's biggest city",Burma,"Rangoon, aka Yangon, is what country's biggest city?",,
2018-03-06,Cooking,"Italian for ""to the tooth"", it's a good goal for your pasta",al dente,"What Italian term for ""to the tooth"" describes the ideal texture for cooked pasta?",,
2018-03-06,Children's Books,R.L. Stine has sent chills up children's spines with this series of books that debuted in 1992,Goosebumps,What children's horror book series by R.L. Stine debuted in 1992?,,
2018-03-06,Architecture,This type of home with a gable roof is typical of the Swiss Alps,Chalet?,,,
2018-03-06,Queens,Elizabeth I and Bloody Mary were both members of this royal house,Tudor,,,
2018-03-06,Pronouns,This possessive pronoun is a homonym of a period of time,ours,,,
2018-03-06,Nonfiction,"""Think Different"" is a chapter title in Walter Isaacson's biography of this man",Steve Jobs,,,
