display,encoding_trial_num,group,trial_num,encoding_sentence.arms_cook,encoding_sentence.musi_cook,encoding_sentence.gems_cook,encoding_sentence.arms_cars,encoding_sentence.musi_cars,encoding_sentence.gems_cars,encoding_sentence.arms_dino,encoding_sentence.musi_dino,encoding_sentence.gems_dino,pic_a.arms_cook,pic_a.musi_cook,pic_a.gems_cook,pic_a.arms_cars,pic_a.musi_cars,pic_a.gems_cars,pic_a.arms_dino,pic_a.musi_dino,pic_a.gems_dino,pic_b.arms_cook,pic_b.musi_cook,pic_b.gems_cook,pic_b.arms_cars,pic_b.musi_cars,pic_b.gems_cars,pic_b.arms_dino,pic_b.musi_dino,pic_b.gems_dino
instructions_firsthalf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memorise_firsthalf,1,academic,1,"Stone Age hunters living all over the world used spear-throwers to launch darts and spears with increased speed and accuracy relative to throwing them by hand. A spear-thrower was in essence a long stick, held at one end with the other end shaped to nock into the base of a dart or spear. While they are not specific to any one culture, in American English spear-throwers are usually called atlatl, from the Nahuatl term.","The Western orchestral classification is not inclusive of the breadth of instruments played across the world. To address this, in 1914, Austrian musicologists Erich von Hornbostel and Curt Sachs developed a five-category classification system for musical instruments based purely on how they create sound waves. Their first category was idiophones, or instruments whose body vibrates to make sound (as opposed to strings, a stretched membrane, or a column of air). This includes most percussion instruments, like cymbals.","One of the physical properties of a gemstone is its cleavage or fracture pattern, or how the stone breaks. Depending on their atomic structure, gemstones either cleave, along planes of weak atomic bonding, or they fracture, in more unpredictable patterns. However, even stones that have the ability to cleave into flat pieces will still fracture in an irregular manner if chipped the wrong way.","Stone Age hunters living all over the world used spear-throwers to launch darts and spears with increased speed and accuracy relative to throwing them by hand. A spear-thrower was in essence a long stick, held at one end with the other end shaped to nock into the base of a dart or spear. While they are not specific to any one culture, in American English spear-throwers are usually called atlatl, from the Nahuatl term.","The Western orchestral classification is not inclusive of the breadth of instruments played across the world. To address this, in 1914, Austrian musicologists Erich von Hornbostel and Curt Sachs developed a five-category classification system for musical instruments based purely on how they create sound waves. Their first category was idiophones, or instruments whose body vibrates to make sound (as opposed to strings, a stretched membrane, or a column of air). This includes most percussion instruments, like cymbals.","One of the physical properties of a gemstone is its cleavage or fracture pattern, or how the stone breaks. Depending on their atomic structure, gemstones either cleave, along planes of weak atomic bonding, or they fracture, in more unpredictable patterns. However, even stones that have the ability to cleave into flat pieces will still fracture in an irregular manner if chipped the wrong way.","Stone Age hunters living all over the world used spear-throwers to launch darts and spears with increased speed and accuracy relative to throwing them by hand. A spear-thrower was in essence a long stick, held at one end with the other end shaped to nock into the base of a dart or spear. While they are not specific to any one culture, in American English spear-throwers are usually called atlatl, from the Nahuatl term.","The Western orchestral classification is not inclusive of the breadth of instruments played across the world. To address this, in 1914, Austrian musicologists Erich von Hornbostel and Curt Sachs developed a five-category classification system for musical instruments based purely on how they create sound waves. Their first category was idiophones, or instruments whose body vibrates to make sound (as opposed to strings, a stretched membrane, or a column of air). This includes most percussion instruments, like cymbals.","One of the physical properties of a gemstone is its cleavage or fracture pattern, or how the stone breaks. Depending on their atomic structure, gemstones either cleave, along planes of weak atomic bonding, or they fracture, in more unpredictable patterns. However, even stones that have the ability to cleave into flat pieces will still fracture in an irregular manner if chipped the wrong way.",arms1a.jpeg,musi1a.jpeg,gems1a.jpeg,arms1a.jpeg,musi1a.jpeg,gems1a.jpeg,arms1a.jpeg,musi1a.jpeg,gems1a.jpeg,arms1b.png,musi1b.jpeg,gems1b.jpeg,arms1b.png,musi1b.jpeg,gems1b.jpeg,arms1b.png,musi1b.jpeg,gems1b.jpeg
memorise_firsthalf,2,nonacademic,1,"Aspic is a savory jelly dish typically made from meat, fish, or vegetable stock bolstered with gelatin that can serve as the base of a molded dish, or a glaze for meat, fish, eggs, etc. It is commonly made to be clear in color, however some aspics, like tomato aspic, are opaque.","Aspic is a savory jelly dish typically made from meat, fish, or vegetable stock bolstered with gelatin that can serve as the base of a molded dish, or a glaze for meat, fish, eggs, etc. It is commonly made to be clear in color, however some aspics, like tomato aspic, are opaque.","Aspic is a savory jelly dish typically made from meat, fish, or vegetable stock bolstered with gelatin that can serve as the base of a molded dish, or a glaze for meat, fish, eggs, etc. It is commonly made to be clear in color, however some aspics, like tomato aspic, are opaque.","Cars use a four-stroke combustion cycle to turn the energy stored inside gasoline into motion energy. In each stroke, pistons expand or compress the space inside their respective cylinders. The four-stroke cycle is also called the Otto cycle, after Nikolaus Otto, the German engineer who invented the internal combustion engine.","Cars use a four-stroke combustion cycle to turn the energy stored inside gasoline into motion energy. In each stroke, pistons expand or compress the space inside their respective cylinders. The four-stroke cycle is also called the Otto cycle, after Nikolaus Otto, the German engineer who invented the internal combustion engine.","Cars use a four-stroke combustion cycle to turn the energy stored inside gasoline into motion energy. In each stroke, pistons expand or compress the space inside their respective cylinders. The four-stroke cycle is also called the Otto cycle, after Nikolaus Otto, the German engineer who invented the internal combustion engine.","The word fossil is derived from the Latin word ""fossilis,"" meaning ""dug up"". Mineralized bones usually come to mind when we imagine dinosaur fossils. However, fossils also include tracks, eggs, skin impressions, tooth marks. These fossils are known as ichnofossils, from the Greek ichnos for ""trace.""","The word fossil is derived from the Latin word ""fossilis,"" meaning ""dug up"". Mineralized bones usually come to mind when we imagine dinosaur fossils. However, fossils also include tracks, eggs, skin impressions, tooth marks. These fossils are known as ichnofossils, from the Greek ichnos for ""trace.""","The word fossil is derived from the Latin word ""fossilis,"" meaning ""dug up"". Mineralized bones usually come to mind when we imagine dinosaur fossils. However, fossils also include tracks, eggs, skin impressions, tooth marks. These fossils are known as ichnofossils, from the Greek ichnos for ""trace.""",cook1a.jpeg,cook1a.jpeg,cook1a.jpeg,cars1a.jpeg,cars1a.jpeg,cars1a.jpeg,dino1a.jpeg,dino1a.jpeg,dino1a.jpeg,cook1b.png,cook1b.png,cook1b.png,cars1b.jpeg,cars1b.jpeg,cars1b.jpeg,dino1b.jpeg,dino1b.jpeg,dino1b.jpeg
memorise_firsthalf,3,academic,2,"Prehistoric bladed weapons included daggers, axes, and adzes. An adze is composed of a blade attached to a handle, like an ax, but the blade is perpendicular to the handle, as opposed to parallel, as with an ax. However, because of their shape and ergonomics, adzes were probably more useful as tools than weapons.","Most percussion instruments are Hornbostel-Sachs idiophones, being directly struck, scraped, or otherwise acted on to make sound. However, drums are membranophones, because they make sound by way of a vibrating membrane stretched across the opening of the instrument body. While many membranophones cannot be tuned, the timpani is a good example of a tunable membranophone that can produce different pitches.","The most common fracture pattern for gemstones is a conchoidal fracture, where the broken surfaces have curvy ridges. These ridges resemble shells, giving conchoidal fractures their name from Greek. This fracture pattern arises when stones have a very small, irregular crystal structure that does not allow the whole stone to cleave along a single line.","Prehistoric bladed weapons included daggers, axes, and adzes. An adze is composed of a blade attached to a handle, like an ax, but the blade is perpendicular to the handle, as opposed to parallel, as with an ax. However, because of their shape and ergonomics, adzes were probably more useful as tools than weapons.","Most percussion instruments are Hornbostel-Sachs idiophones, being directly struck, scraped, or otherwise acted on to make sound. However, drums are membranophones, because they make sound by way of a vibrating membrane stretched across the opening of the instrument body. While many membranophones cannot be tuned, the timpani is a good example of a tunable membranophone that can produce different pitches.","The most common fracture pattern for gemstones is a conchoidal fracture, where the broken surfaces have curvy ridges. These ridges resemble shells, giving conchoidal fractures their name from Greek. This fracture pattern arises when stones have a very small, irregular crystal structure that does not allow the whole stone to cleave along a single line.","Prehistoric bladed weapons included daggers, axes, and adzes. An adze is composed of a blade attached to a handle, like an ax, but the blade is perpendicular to the handle, as opposed to parallel, as with an ax. However, because of their shape and ergonomics, adzes were probably more useful as tools than weapons.","Most percussion instruments are Hornbostel-Sachs idiophones, being directly struck, scraped, or otherwise acted on to make sound. However, drums are membranophones, because they make sound by way of a vibrating membrane stretched across the opening of the instrument body. While many membranophones cannot be tuned, the timpani is a good example of a tunable membranophone that can produce different pitches.","The most common fracture pattern for gemstones is a conchoidal fracture, where the broken surfaces have curvy ridges. These ridges resemble shells, giving conchoidal fractures their name from Greek. This fracture pattern arises when stones have a very small, irregular crystal structure that does not allow the whole stone to cleave along a single line.",arms2a.png,musi2a.png,gems2a.jpeg,arms2a.png,musi2a.png,gems2a.jpeg,arms2a.png,musi2a.png,gems2a.jpeg,arms2b.jpeg,musi2b.jpeg,gems2b.jpeg,arms2b.jpeg,musi2b.jpeg,gems2b.jpeg,arms2b.jpeg,musi2b.jpeg,gems2b.jpeg
memorise_firsthalf,4,nonacademic,2,"A blewit is a variety of mushroom with a wide, bluish-lavender cap and 1-inch stem. It has pale blue flesh that fades as it matures and is popular for its earthy, woody flavor and firm yet slimy texture.","A blewit is a variety of mushroom with a wide, bluish-lavender cap and 1-inch stem. It has pale blue flesh that fades as it matures and is popular for its earthy, woody flavor and firm yet slimy texture.","A blewit is a variety of mushroom with a wide, bluish-lavender cap and 1-inch stem. It has pale blue flesh that fades as it matures and is popular for its earthy, woody flavor and firm yet slimy texture.","The four strokes that make up the internal combustion cycle are the intake stroke, compression stroke, combustion stroke, and exhaust stroke. The intake stroke pulls the piston out of the cylinder, pulling in fuel and air. The compression stroke squeezes that gas, and the combustion stroke ignites the fuel, creating a small explosion that pushes the piston back out. The exhaust stroke squeezes the used gases out to restart the cycle.","The four strokes that make up the internal combustion cycle are the intake stroke, compression stroke, combustion stroke, and exhaust stroke. The intake stroke pulls the piston out of the cylinder, pulling in fuel and air. The compression stroke squeezes that gas, and the combustion stroke ignites the fuel, creating a small explosion that pushes the piston back out. The exhaust stroke squeezes the used gases out to restart the cycle.","The four strokes that make up the internal combustion cycle are the intake stroke, compression stroke, combustion stroke, and exhaust stroke. The intake stroke pulls the piston out of the cylinder, pulling in fuel and air. The compression stroke squeezes that gas, and the combustion stroke ignites the fuel, creating a small explosion that pushes the piston back out. The exhaust stroke squeezes the used gases out to restart the cycle.","Radioactive clocks can be used to determine the numerical age of rocks, and any fossils within, by measuring the rate of decay for radioactive atoms contained within those rocks. Of the three main rock types, only igneous rocks have a sufficient quantity of radioactive atoms for radiometric dating. However, igneous rocks rarely contain fossils themselves, because molten lava tends to incinerate any biomass that would have otherwise fossilized.","Radioactive clocks can be used to determine the numerical age of rocks, and any fossils within, by measuring the rate of decay for radioactive atoms contained within those rocks. Of the three main rock types, only igneous rocks have a sufficient quantity of radioactive atoms for radiometric dating. However, igneous rocks rarely contain fossils themselves, because molten lava tends to incinerate any biomass that would have otherwise fossilized.","Radioactive clocks can be used to determine the numerical age of rocks, and any fossils within, by measuring the rate of decay for radioactive atoms contained within those rocks. Of the three main rock types, only igneous rocks have a sufficient quantity of radioactive atoms for radiometric dating. However, igneous rocks rarely contain fossils themselves, because molten lava tends to incinerate any biomass that would have otherwise fossilized.",cook2a.jpeg,cook2a.jpeg,cook2a.jpeg,cars2a.jpeg,cars2a.jpeg,cars2a.jpeg,dino2a.jpeg,dino2a.jpeg,dino2a.jpeg,cook2b.png,cook2b.png,cook2b.png,cars2b.jpeg,cars2b.jpeg,cars2b.jpeg,dino2b.jpeg,dino2b.jpeg,dino2b.jpeg
memorise_firsthalf,5,academic,3,"Prehistoric people were limited in the resources available to them for tool and weapon making. Flint was a common material for ancient ax blades and arrowheads, because it could easily be made sharp. Knapping describes the act of shaving a piece of flint or other rock down to a sharp edge by knocking off small pieces with another stone.","Stringed instruments, whether they be plucked, bowed, or struck, make up the third Hornbostel-Sachs category, the chordophones. According to the Hornbostel-Sachs system, keyboard instruments like the piano and harpsichord are definitely chordophones, even though the strings are not directly contacted by the player.","Prototypical gemstones are in crystalline form, with their atoms arranged in a regular repeating pattern to create large crystals with structure clearly visible to the naked eye. When gems are found in large, irregular shapes, without any obvious large crystal structure, they are said to be in massive form.","Prehistoric people were limited in the resources available to them for tool and weapon making. Flint was a common material for ancient ax blades and arrowheads, because it could easily be made sharp. Knapping describes the act of shaving a piece of flint or other rock down to a sharp edge by knocking off small pieces with another stone.","Stringed instruments, whether they be plucked, bowed, or struck, make up the third Hornbostel-Sachs category, the chordophones. According to the Hornbostel-Sachs system, keyboard instruments like the piano and harpsichord are definitely chordophones, even though the strings are not directly contacted by the player.","Prototypical gemstones are in crystalline form, with their atoms arranged in a regular repeating pattern to create large crystals with structure clearly visible to the naked eye. When gems are found in large, irregular shapes, without any obvious large crystal structure, they are said to be in massive form.","Prehistoric people were limited in the resources available to them for tool and weapon making. Flint was a common material for ancient ax blades and arrowheads, because it could easily be made sharp. Knapping describes the act of shaving a piece of flint or other rock down to a sharp edge by knocking off small pieces with another stone.","Stringed instruments, whether they be plucked, bowed, or struck, make up the third Hornbostel-Sachs category, the chordophones. According to the Hornbostel-Sachs system, keyboard instruments like the piano and harpsichord are definitely chordophones, even though the strings are not directly contacted by the player.","Prototypical gemstones are in crystalline form, with their atoms arranged in a regular repeating pattern to create large crystals with structure clearly visible to the naked eye. When gems are found in large, irregular shapes, without any obvious large crystal structure, they are said to be in massive form.",arms3a.png,musi3a.jpeg,gems3a.jpeg,arms3a.png,musi3a.jpeg,gems3a.jpeg,arms3a.png,musi3a.jpeg,gems3a.jpeg,arms3b.png,musi3b.jpeg,gems3b.png,arms3b.png,musi3b.jpeg,gems3b.png,arms3b.png,musi3b.jpeg,gems3b.png
memorise_firsthalf,6,nonacademic,3,"The ramp is a wild vegetable in the onion family growing in Canada and parts of the Carolinas. Ramps can be found in specialty produce markets from during the spring and early summer. Though it is not the same as a leek, it is often referred to as a wild leek. Ramps add a strong, garlicky-onion flavor to dishes.","The ramp is a wild vegetable in the onion family growing in Canada and parts of the Carolinas. Ramps can be found in specialty produce markets from during the spring and early summer. Though it is not the same as a leek, it is often referred to as a wild leek. Ramps add a strong, garlicky-onion flavor to dishes.","The ramp is a wild vegetable in the onion family growing in Canada and parts of the Carolinas. Ramps can be found in specialty produce markets from during the spring and early summer. Though it is not the same as a leek, it is often referred to as a wild leek. Ramps add a strong, garlicky-onion flavor to dishes.","Each cylinder of an engine contributes combustion power. The more cylinders an engine has, the more power it can produce. In engine specifications, the ""V"" in the label V4 or V6 indicates that the engine's cylinders are arranged in a V shape. Engines may also be ""inline"", where all the cylinders are parallel to one another.","Each cylinder of an engine contributes combustion power. The more cylinders an engine has, the more power it can produce. In engine specifications, the ""V"" in the label V4 or V6 indicates that the engine's cylinders are arranged in a V shape. Engines may also be ""inline"", where all the cylinders are parallel to one another.","Each cylinder of an engine contributes combustion power. The more cylinders an engine has, the more power it can produce. In engine specifications, the ""V"" in the label V4 or V6 indicates that the engine's cylinders are arranged in a V shape. Engines may also be ""inline"", where all the cylinders are parallel to one another.","While carbon-14 is a well-known isotope for radiometric dating of organic matter, its short half-life means it cannot be used for fossils more than about 50,000 years old--not nearly old enough for dinosaurs. However, potassium-40, found in volcanic rocks, decays into argon-40 with a half life of 1.2 billion years. Potassium-argon dating can thus measure the age of igneous rocks up to billions of years old.","While carbon-14 is a well-known isotope for radiometric dating of organic matter, its short half-life means it cannot be used for fossils more than about 50,000 years old--not nearly old enough for dinosaurs. However, potassium-40, found in volcanic rocks, decays into argon-40 with a half life of 1.2 billion years. Potassium-argon dating can thus measure the age of igneous rocks up to billions of years old.","While carbon-14 is a well-known isotope for radiometric dating of organic matter, its short half-life means it cannot be used for fossils more than about 50,000 years old--not nearly old enough for dinosaurs. However, potassium-40, found in volcanic rocks, decays into argon-40 with a half life of 1.2 billion years. Potassium-argon dating can thus measure the age of igneous rocks up to billions of years old.",cook3a.jpeg,cook3a.jpeg,cook3a.jpeg,cars3a.jpeg,cars3a.jpeg,cars3a.jpeg,dino3a.jpeg,dino3a.jpeg,dino3a.jpeg,cook3b.png,cook3b.png,cook3b.png,cars3b.jpeg,cars3b.jpeg,cars3b.jpeg,dino3b.jpeg,dino3b.jpeg,dino3b.jpeg
memorise_firsthalf,7,academic,4,"People throughout the centuries have interpreted archaeological weaponry findings in various ways. For example, 10th century Anglo-Saxons in Britain believed that stabbing pains now associated with rheumatism and arthritis were caused by ""elfshot"", or invisible arrow wounds from magical elves. They took Stone Age flint arrowheads to be evidence of elf activity.","Wind instruments comprise the fourth Hornbostel-Sachs category, the aerophones. Woodwinds and brass instruments are prototypical aerophones, making sound by vibrating air through a mouthpiece into the tubular body of the instrument. Importantly, any wind-based instrument is an aerophone, not just those that are blown into. Thus, accordions are also aerophones, because air is driven through reeds by a bellows.","Crystals are classified into one of seven systems based on the axes of symmetry in their microscopic crystal structure. The first system, the triclinic system, describes crystals that form with three axes of unequal length that all meet each other at non-perpendicular angles. These crystals are not symmetric along any axis. Turquoise is a well-known gemstone with a triclinic system.","People throughout the centuries have interpreted archaeological weaponry findings in various ways. For example, 10th century Anglo-Saxons in Britain believed that stabbing pains now associated with rheumatism and arthritis were caused by ""elfshot"", or invisible arrow wounds from magical elves. They took Stone Age flint arrowheads to be evidence of elf activity.","Wind instruments comprise the fourth Hornbostel-Sachs category, the aerophones. Woodwinds and brass instruments are prototypical aerophones, making sound by vibrating air through a mouthpiece into the tubular body of the instrument. Importantly, any wind-based instrument is an aerophone, not just those that are blown into. Thus, accordions are also aerophones, because air is driven through reeds by a bellows.","Crystals are classified into one of seven systems based on the axes of symmetry in their microscopic crystal structure. The first system, the triclinic system, describes crystals that form with three axes of unequal length that all meet each other at non-perpendicular angles. These crystals are not symmetric along any axis. Turquoise is a well-known gemstone with a triclinic system.","People throughout the centuries have interpreted archaeological weaponry findings in various ways. For example, 10th century Anglo-Saxons in Britain believed that stabbing pains now associated with rheumatism and arthritis were caused by ""elfshot"", or invisible arrow wounds from magical elves. They took Stone Age flint arrowheads to be evidence of elf activity.","Wind instruments comprise the fourth Hornbostel-Sachs category, the aerophones. Woodwinds and brass instruments are prototypical aerophones, making sound by vibrating air through a mouthpiece into the tubular body of the instrument. Importantly, any wind-based instrument is an aerophone, not just those that are blown into. Thus, accordions are also aerophones, because air is driven through reeds by a bellows.","Crystals are classified into one of seven systems based on the axes of symmetry in their microscopic crystal structure. The first system, the triclinic system, describes crystals that form with three axes of unequal length that all meet each other at non-perpendicular angles. These crystals are not symmetric along any axis. Turquoise is a well-known gemstone with a triclinic system.",arms4a.jpeg,musi4a.jpeg,gems4a.jpeg,arms4a.jpeg,musi4a.jpeg,gems4a.jpeg,arms4a.jpeg,musi4a.jpeg,gems4a.jpeg,arms4b.png,musi4b.jpeg,gems4b.jpeg,arms4b.png,musi4b.jpeg,gems4b.jpeg,arms4b.png,musi4b.jpeg,gems4b.jpeg
memorise_firsthalf,8,nonacademic,4,"The mate is a holly-family tree grown primarily in Argentina, Brazil, and Paraguay. Mate leaves can be dried, shredded, aged, and then brewed as an energy boosting tea-like drink. The traditional way of preparing this beverage involves placing the leaves in a hollow gourd with hot, not boiling water, and sipping the tea through a special metal straw, called a bombilla, that strains out leaves.","The mate is a holly-family tree grown primarily in Argentina, Brazil, and Paraguay. Mate leaves can be dried, shredded, aged, and then brewed as an energy boosting tea-like drink. The traditional way of preparing this beverage involves placing the leaves in a hollow gourd with hot, not boiling water, and sipping the tea through a special metal straw, called a bombilla, that strains out leaves.","The mate is a holly-family tree grown primarily in Argentina, Brazil, and Paraguay. Mate leaves can be dried, shredded, aged, and then brewed as an energy boosting tea-like drink. The traditional way of preparing this beverage involves placing the leaves in a hollow gourd with hot, not boiling water, and sipping the tea through a special metal straw, called a bombilla, that strains out leaves.","Cooling is critical to helping the engine run more efficiently. Most modern cars circulate water through pipes and passages to cool their engines. However, Volkswagen Beetles made before 1999 used air to cool their engines. In an air-cooled engine, fans blow over large metal fins, drawing heat from the engine.","Cooling is critical to helping the engine run more efficiently. Most modern cars circulate water through pipes and passages to cool their engines. However, Volkswagen Beetles made before 1999 used air to cool their engines. In an air-cooled engine, fans blow over large metal fins, drawing heat from the engine.","Cooling is critical to helping the engine run more efficiently. Most modern cars circulate water through pipes and passages to cool their engines. However, Volkswagen Beetles made before 1999 used air to cool their engines. In an air-cooled engine, fans blow over large metal fins, drawing heat from the engine.","Sedimentary rocks do not contain enough radioactive material for radiometric dating. Thus, evaluation of fossil age sometimes relies on stratigraphy, the subfield of geology concerned with measuring the formation, composition, and age of layers in a rock formation. For example, radiometric dating from igneous layers above and below a sedimentary layer can yield a time range when fossils in that layer could have formed.","Sedimentary rocks do not contain enough radioactive material for radiometric dating. Thus, evaluation of fossil age sometimes relies on stratigraphy, the subfield of geology concerned with measuring the formation, composition, and age of layers in a rock formation. For example, radiometric dating from igneous layers above and below a sedimentary layer can yield a time range when fossils in that layer could have formed.","Sedimentary rocks do not contain enough radioactive material for radiometric dating. Thus, evaluation of fossil age sometimes relies on stratigraphy, the subfield of geology concerned with measuring the formation, composition, and age of layers in a rock formation. For example, radiometric dating from igneous layers above and below a sedimentary layer can yield a time range when fossils in that layer could have formed.",cook4a.jpeg,cook4a.jpeg,cook4a.jpeg,cars4a.png,cars4a.png,cars4a.png,dino4a.jpeg,dino4a.jpeg,dino4a.jpeg,cook4b.jpeg,cook4b.jpeg,cook4b.jpeg,cars4b.png,cars4b.png,cars4b.png,dino4b.jpeg,dino4b.jpeg,dino4b.jpeg
memorise_firsthalf,9,academic,5,"The first standing army, composed of full-time soldiers as opposed to those enlisted only in times of war, was established around the 14th century BCE in the ancient Assyrian empire, centered in modern-day Iraq. The use of iron, which was easier to produce and more durable than bronze, to equip these soldiers enabled the Assyrians to pursue almost constant military conquest of neighboring states until about the 10th century BCE.","The original Hornbostel-Sachs system had only four instrument categories. In 1940, Hornbostel added the fifth category, electrophones, to keep up with evolving musical technology. While Hornbostel originally classified amplified instruments, like electric guitars, as electrophones, modern musicologists now only classify fully electronic instruments as electrophones. Synthesizers are thus one of the most common electrophones in modern music.","The second crystal system, the monoclinic system, is similar to the triclinic system, in that all three crystal axes are different lengths. However, in the monoclinic system, two of the axes do meet at right angles, giving monoclinic crystals one axis of twofold symmetry. Jade is a well-known gemstone with a monoclinic system.","The first standing army, composed of full-time soldiers as opposed to those enlisted only in times of war, was established around the 14th century BCE in the ancient Assyrian empire, centered in modern-day Iraq. The use of iron, which was easier to produce and more durable than bronze, to equip these soldiers enabled the Assyrians to pursue almost constant military conquest of neighboring states until about the 10th century BCE.","The original Hornbostel-Sachs system had only four instrument categories. In 1940, Hornbostel added the fifth category, electrophones, to keep up with evolving musical technology. While Hornbostel originally classified amplified instruments, like electric guitars, as electrophones, modern musicologists now only classify fully electronic instruments as electrophones. Synthesizers are thus one of the most common electrophones in modern music.","The second crystal system, the monoclinic system, is similar to the triclinic system, in that all three crystal axes are different lengths. However, in the monoclinic system, two of the axes do meet at right angles, giving monoclinic crystals one axis of twofold symmetry. Jade is a well-known gemstone with a monoclinic system.","The first standing army, composed of full-time soldiers as opposed to those enlisted only in times of war, was established around the 14th century BCE in the ancient Assyrian empire, centered in modern-day Iraq. The use of iron, which was easier to produce and more durable than bronze, to equip these soldiers enabled the Assyrians to pursue almost constant military conquest of neighboring states until about the 10th century BCE.","The original Hornbostel-Sachs system had only four instrument categories. In 1940, Hornbostel added the fifth category, electrophones, to keep up with evolving musical technology. While Hornbostel originally classified amplified instruments, like electric guitars, as electrophones, modern musicologists now only classify fully electronic instruments as electrophones. Synthesizers are thus one of the most common electrophones in modern music.","The second crystal system, the monoclinic system, is similar to the triclinic system, in that all three crystal axes are different lengths. However, in the monoclinic system, two of the axes do meet at right angles, giving monoclinic crystals one axis of twofold symmetry. Jade is a well-known gemstone with a monoclinic system.",arms5a.jpeg,musi5a.png,gems5a.png,arms5a.jpeg,musi5a.png,gems5a.png,arms5a.jpeg,musi5a.png,gems5a.png,arms5b.jpeg,musi5b.png,gems5b.jpeg,arms5b.jpeg,musi5b.png,gems5b.jpeg,arms5b.jpeg,musi5b.png,gems5b.jpeg
