display,encoding_trial_num,group,trial_num,encoding_sentence.arms_cook,encoding_sentence.musi_cook,encoding_sentence.gems_cook,encoding_sentence.arms_cars,encoding_sentence.musi_cars,encoding_sentence.gems_cars,encoding_sentence.arms_dino,encoding_sentence.musi_dino,encoding_sentence.gems_dino,mp3.arms_cook,mp3.musi_cook,mp3.gems_cook,mp3.arms_cars,mp3.musi_cars,mp3.gems_cars,mp3.arms_dino,mp3.musi_dino,mp3.gems_dino,pic_a.arms_cook,pic_a.musi_cook,pic_a.gems_cook,pic_a.arms_cars,pic_a.musi_cars,pic_a.gems_cars,pic_a.arms_dino,pic_a.musi_dino,pic_a.gems_dino,pic_b.arms_cook,pic_b.musi_cook,pic_b.gems_cook,pic_b.arms_cars,pic_b.musi_cars,pic_b.gems_cars,pic_b.arms_dino,pic_b.musi_dino,pic_b.gems_dino
instructions_secondhalf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memorise_secondhalf,41,academic,21,"The spur, worn on the heel of a rider's boot to encourage their horse, is composed of a shank, spur-neck, and the prick or rowel. First thought to have been used by Celts as early as the 500s BCE, the ancient spur most often sported a prick, or a single conical point attached to the shank. The now-characteristic wheel, called the rowel, did not appear on spurs until the late 13th century.","The sistrum was an ancient Egyptian bronze rattle, with disks strung on rods going across the frame of the rattle. Sistra were often played to worship the goddess Hathor, an Egyptian goddess of music. Clay sistra have been found in tombs, but those likely did not sound as loudly as bronze sistra, indicating that the clay instruments were probably funerary replicas not used for performance.","Occasionally, gemstones have whole zones of different colors within them, appearing striped. For example, the gem tourmaline is often found with striped zones of color, and is typically cut along a particular axis to show off the coloration. Watermelon tourmaline, with neighboring pink and green zones, is one attractive striped variety of tourmaline.","The spur, worn on the heel of a rider's boot to encourage their horse, is composed of a shank, spur-neck, and the prick or rowel. First thought to have been used by Celts as early as the 500s BCE, the ancient spur most often sported a prick, or a single conical point attached to the shank. The now-characteristic wheel, called the rowel, did not appear on spurs until the late 13th century.","The sistrum was an ancient Egyptian bronze rattle, with disks strung on rods going across the frame of the rattle. Sistra were often played to worship the goddess Hathor, an Egyptian goddess of music. Clay sistra have been found in tombs, but those likely did not sound as loudly as bronze sistra, indicating that the clay instruments were probably funerary replicas not used for performance.","Occasionally, gemstones have whole zones of different colors within them, appearing striped. For example, the gem tourmaline is often found with striped zones of color, and is typically cut along a particular axis to show off the coloration. Watermelon tourmaline, with neighboring pink and green zones, is one attractive striped variety of tourmaline.","The spur, worn on the heel of a rider's boot to encourage their horse, is composed of a shank, spur-neck, and the prick or rowel. First thought to have been used by Celts as early as the 500s BCE, the ancient spur most often sported a prick, or a single conical point attached to the shank. The now-characteristic wheel, called the rowel, did not appear on spurs until the late 13th century.","The sistrum was an ancient Egyptian bronze rattle, with disks strung on rods going across the frame of the rattle. Sistra were often played to worship the goddess Hathor, an Egyptian goddess of music. Clay sistra have been found in tombs, but those likely did not sound as loudly as bronze sistra, indicating that the clay instruments were probably funerary replicas not used for performance.","Occasionally, gemstones have whole zones of different colors within them, appearing striped. For example, the gem tourmaline is often found with striped zones of color, and is typically cut along a particular axis to show off the coloration. Watermelon tourmaline, with neighboring pink and green zones, is one attractive striped variety of tourmaline.",arms21.mp3,musi21.mp3,gems21.mp3,arms21.mp3,musi21.mp3,gems21.mp3,arms21.mp3,musi21.mp3,gems21.mp3,arms21a.jpeg,musi21a.png,gems21a.png,arms21a.jpeg,musi21a.png,gems21a.png,arms21a.jpeg,musi21a.png,gems21a.png,arms21b.jpeg,musi21b.jpeg,gems21b.jpeg,arms21b.jpeg,musi21b.jpeg,gems21b.jpeg,arms21b.jpeg,musi21b.jpeg,gems21b.jpeg
memorise_secondhalf,42,nonacademic,21,"Pith is the term referring to the white, spongy layer that separates the peel and flesh of a citrus fruit. Citrus pith is often claimed to be so bitter that accidentally including it may ruin a dish. While grapefruit pith is indeed quite bitter, orange pith is typically tasteless.","Pith is the term referring to the white, spongy layer that separates the peel and flesh of a citrus fruit. Citrus pith is often claimed to be so bitter that accidentally including it may ruin a dish. While grapefruit pith is indeed quite bitter, orange pith is typically tasteless.","Pith is the term referring to the white, spongy layer that separates the peel and flesh of a citrus fruit. Citrus pith is often claimed to be so bitter that accidentally including it may ruin a dish. While grapefruit pith is indeed quite bitter, orange pith is typically tasteless.","Historically, vehicle air bags released a powdery substance when they were inflated. This substance was typically a coating of talcum powder that prevented the bag from sticking to itself before it was inflated. Modern air bags are treated with silicone so that they no longer require powder lubrication to inflate.","Historically, vehicle air bags released a powdery substance when they were inflated. This substance was typically a coating of talcum powder that prevented the bag from sticking to itself before it was inflated. Modern air bags are treated with silicone so that they no longer require powder lubrication to inflate.","Historically, vehicle air bags released a powdery substance when they were inflated. This substance was typically a coating of talcum powder that prevented the bag from sticking to itself before it was inflated. Modern air bags are treated with silicone so that they no longer require powder lubrication to inflate.","It is usually very difficult to tell the sex of a dinosaur from its fossil. Even if a fossil is found right next to a clutch of fossilized eggs, that doesn't guarantee its sex, as male dinosaurs might also have tended their broods. However, paleontologists can sometimes identify pregnant female dinosaurs from a special layer in their bones, called the medullary bone, still found in pregnant birds. Medullary bone provided the extra calcium mother dinosaurs needed to form eggshells for their offspring.","It is usually very difficult to tell the sex of a dinosaur from its fossil. Even if a fossil is found right next to a clutch of fossilized eggs, that doesn't guarantee its sex, as male dinosaurs might also have tended their broods. However, paleontologists can sometimes identify pregnant female dinosaurs from a special layer in their bones, called the medullary bone, still found in pregnant birds. Medullary bone provided the extra calcium mother dinosaurs needed to form eggshells for their offspring.","It is usually very difficult to tell the sex of a dinosaur from its fossil. Even if a fossil is found right next to a clutch of fossilized eggs, that doesn't guarantee its sex, as male dinosaurs might also have tended their broods. However, paleontologists can sometimes identify pregnant female dinosaurs from a special layer in their bones, called the medullary bone, still found in pregnant birds. Medullary bone provided the extra calcium mother dinosaurs needed to form eggshells for their offspring.",cook21.mp3,cook21.mp3,cook21.mp3,cars21.mp3,cars21.mp3,cars21.mp3,dino21.mp3,dino21.mp3,dino21.mp3,cook21a.jpeg,cook21a.jpeg,cook21a.jpeg,cars21a.jpeg,cars21a.jpeg,cars21a.jpeg,dino21a.png,dino21a.png,dino21a.png,cook21b.jpeg,cook21b.jpeg,cook21b.jpeg,cars21b.jpeg,cars21b.jpeg,cars21b.jpeg,dino21b.jpeg,dino21b.jpeg,dino21b.jpeg
memorise_secondhalf,43,academic,22,"The blades of large swords can become quite heavy. The pommel is a counterweight, usually spherical, on the end of a sword grip that helps to balance out the sword. While swords from cultures the world over have pommels of different styles, the modern English term ""pommel"" comes from the early French for ""little apple"", likely from the Normans who used such swords to conquer England in 1066.","Historically, bells for music and for mass communication have been cast with from a special bronze formula with 20% tin and 80% copper. In addition, different cultures have blended different metals into their bells for sound quality and symbolic significance. For example, Russian Orthodox church bells are distinguished from other religious bells by the inclusion of silver in the bell metal.","A gemstone's luster is its appearance when reflecting light. Luster alone cannot be used to identify gems, because luster varies depending on how the stone is cut/polished. However, some stones do have a characteristic luster. For example, the brilliant and shiny look of a cut diamond defines an adamantine luster, named after the Latin word for diamond.","The blades of large swords can become quite heavy. The pommel is a counterweight, usually spherical, on the end of a sword grip that helps to balance out the sword. While swords from cultures the world over have pommels of different styles, the modern English term ""pommel"" comes from the early French for ""little apple"", likely from the Normans who used such swords to conquer England in 1066.","Historically, bells for music and for mass communication have been cast with from a special bronze formula with 20% tin and 80% copper. In addition, different cultures have blended different metals into their bells for sound quality and symbolic significance. For example, Russian Orthodox church bells are distinguished from other religious bells by the inclusion of silver in the bell metal.","A gemstone's luster is its appearance when reflecting light. Luster alone cannot be used to identify gems, because luster varies depending on how the stone is cut/polished. However, some stones do have a characteristic luster. For example, the brilliant and shiny look of a cut diamond defines an adamantine luster, named after the Latin word for diamond.","The blades of large swords can become quite heavy. The pommel is a counterweight, usually spherical, on the end of a sword grip that helps to balance out the sword. While swords from cultures the world over have pommels of different styles, the modern English term ""pommel"" comes from the early French for ""little apple"", likely from the Normans who used such swords to conquer England in 1066.","Historically, bells for music and for mass communication have been cast with from a special bronze formula with 20% tin and 80% copper. In addition, different cultures have blended different metals into their bells for sound quality and symbolic significance. For example, Russian Orthodox church bells are distinguished from other religious bells by the inclusion of silver in the bell metal.","A gemstone's luster is its appearance when reflecting light. Luster alone cannot be used to identify gems, because luster varies depending on how the stone is cut/polished. However, some stones do have a characteristic luster. For example, the brilliant and shiny look of a cut diamond defines an adamantine luster, named after the Latin word for diamond.",arms22.mp3,musi22.mp3,gems22.mp3,arms22.mp3,musi22.mp3,gems22.mp3,arms22.mp3,musi22.mp3,gems22.mp3,arms22a.jpeg,musi22a.jpg,gems22a.jpeg,arms22a.jpeg,musi22a.jpg,gems22a.jpeg,arms22a.jpeg,musi22a.jpg,gems22a.jpeg,arms22b.jpeg,musi22b.jpg,gems22b.jpeg,arms22b.jpeg,musi22b.jpg,gems22b.jpeg,arms22b.jpeg,musi22b.jpg,gems22b.jpeg
memorise_secondhalf,44,nonacademic,22,"Used in Algeria, Morocco, and Tunisia, the tagine is a cooking vessel composed of a flat circular plate covered with a cone-shaped lid, made from glazed, decorated clay. Like ""casserole,"" the tagine refers to both the food being served, in this case usually slow-cooked stew, and the vessel used to cook it.","Used in Algeria, Morocco, and Tunisia, the tagine is a cooking vessel composed of a flat circular plate covered with a cone-shaped lid, made from glazed, decorated clay. Like ""casserole,"" the tagine refers to both the food being served, in this case usually slow-cooked stew, and the vessel used to cook it.","Used in Algeria, Morocco, and Tunisia, the tagine is a cooking vessel composed of a flat circular plate covered with a cone-shaped lid, made from glazed, decorated clay. Like ""casserole,"" the tagine refers to both the food being served, in this case usually slow-cooked stew, and the vessel used to cook it.","Hot-wiring a car is only feasible in cars made before the 1990s. Modern cars use an electronic part called an immobilizer to prevent starting the ignition without the key (or key fob). The immobilizer receives a radio frequency code from the car key, and only allows the ignition to start if the key's code matches the code stored in the immobilizer system.","Hot-wiring a car is only feasible in cars made before the 1990s. Modern cars use an electronic part called an immobilizer to prevent starting the ignition without the key (or key fob). The immobilizer receives a radio frequency code from the car key, and only allows the ignition to start if the key's code matches the code stored in the immobilizer system.","Hot-wiring a car is only feasible in cars made before the 1990s. Modern cars use an electronic part called an immobilizer to prevent starting the ignition without the key (or key fob). The immobilizer receives a radio frequency code from the car key, and only allows the ignition to start if the key's code matches the code stored in the immobilizer system.","Though it is no longer seen as a proper taxonomic order, dinosaurs are still divided into two groups based on their pelvic structure. The ""bird-hipped"" Ornithischia had hips superficially like modern birds', while ""lizard-hipped"" Saurischia more resembled other modern reptiles. Unlike modern bipedal birds and quadrupedal lizards, both dinosaur groups had bipedal and quadrupedal members. Confusingly, modern birds are descended from Saurischia, and not from the relatedly-named Ornithischia.","Though it is no longer seen as a proper taxonomic order, dinosaurs are still divided into two groups based on their pelvic structure. The ""bird-hipped"" Ornithischia had hips superficially like modern birds', while ""lizard-hipped"" Saurischia more resembled other modern reptiles. Unlike modern bipedal birds and quadrupedal lizards, both dinosaur groups had bipedal and quadrupedal members. Confusingly, modern birds are descended from Saurischia, and not from the relatedly-named Ornithischia.","Though it is no longer seen as a proper taxonomic order, dinosaurs are still divided into two groups based on their pelvic structure. The ""bird-hipped"" Ornithischia had hips superficially like modern birds', while ""lizard-hipped"" Saurischia more resembled other modern reptiles. Unlike modern bipedal birds and quadrupedal lizards, both dinosaur groups had bipedal and quadrupedal members. Confusingly, modern birds are descended from Saurischia, and not from the relatedly-named Ornithischia.",cook22.mp3,cook22.mp3,cook22.mp3,cars22.mp3,cars22.mp3,cars22.mp3,dino22.mp3,dino22.mp3,dino22.mp3,cook22a.jpeg,cook22a.jpeg,cook22a.jpeg,cars22a.jpg,cars22a.jpg,cars22a.jpg,dino22a.png,dino22a.png,dino22a.png,cook22b.jpeg,cook22b.jpeg,cook22b.jpeg,cars22b.jpg,cars22b.jpg,cars22b.jpg,dino22b.png,dino22b.png,dino22b.png
memorise_secondhalf,45,academic,23,"The tang is the section of a sword blade continuing inside the hilt. On most medieval swords, the metal of the tang is thinner than that of the blade, providing support for the blade while allowing the hilt to be lighter to grasp. European sword tangs usually ran through the hilt all the way to the pommel, while Japanese sword tangs tended to stop short of the end of the hilt.","Mbira are a family of instruments, often known colloquially in the US as thumb pianos, originating before 1000 CE with the Shona people in modern-day Zimbabwe. Their sound comes from a series of metal tines resonating against a sound box when plucked. Mbira are tuned in an ergonomic pattern, with the longest tines playing the lowest notes at the center and higher notes going out toward the sides.","Some stones may reflect a variety of colors because of light interference within the gem's crystal structure. For example, opals are prized for their iridescence, reflecting a rainbow of colors within a single stone. A different form of light interference, called a schiller, occurs in stones like moonstone, where light appears to shimmer just beneath the surface of the stone.","The tang is the section of a sword blade continuing inside the hilt. On most medieval swords, the metal of the tang is thinner than that of the blade, providing support for the blade while allowing the hilt to be lighter to grasp. European sword tangs usually ran through the hilt all the way to the pommel, while Japanese sword tangs tended to stop short of the end of the hilt.","Mbira are a family of instruments, often known colloquially in the US as thumb pianos, originating before 1000 CE with the Shona people in modern-day Zimbabwe. Their sound comes from a series of metal tines resonating against a sound box when plucked. Mbira are tuned in an ergonomic pattern, with the longest tines playing the lowest notes at the center and higher notes going out toward the sides.","Some stones may reflect a variety of colors because of light interference within the gem's crystal structure. For example, opals are prized for their iridescence, reflecting a rainbow of colors within a single stone. A different form of light interference, called a schiller, occurs in stones like moonstone, where light appears to shimmer just beneath the surface of the stone.","The tang is the section of a sword blade continuing inside the hilt. On most medieval swords, the metal of the tang is thinner than that of the blade, providing support for the blade while allowing the hilt to be lighter to grasp. European sword tangs usually ran through the hilt all the way to the pommel, while Japanese sword tangs tended to stop short of the end of the hilt.","Mbira are a family of instruments, often known colloquially in the US as thumb pianos, originating before 1000 CE with the Shona people in modern-day Zimbabwe. Their sound comes from a series of metal tines resonating against a sound box when plucked. Mbira are tuned in an ergonomic pattern, with the longest tines playing the lowest notes at the center and higher notes going out toward the sides.","Some stones may reflect a variety of colors because of light interference within the gem's crystal structure. For example, opals are prized for their iridescence, reflecting a rainbow of colors within a single stone. A different form of light interference, called a schiller, occurs in stones like moonstone, where light appears to shimmer just beneath the surface of the stone.",arms23.mp3,musi23.mp3,gems23.mp3,arms23.mp3,musi23.mp3,gems23.mp3,arms23.mp3,musi23.mp3,gems23.mp3,arms23a.png,musi23a.jpeg,gems23a.jpeg,arms23a.png,musi23a.jpeg,gems23a.jpeg,arms23a.png,musi23a.jpeg,gems23a.jpeg,arms23b.jpeg,musi23b.jpeg,gems23b.jpeg,arms23b.jpeg,musi23b.jpeg,gems23b.jpeg,arms23b.jpeg,musi23b.jpeg,gems23b.jpeg
memorise_secondhalf,46,nonacademic,23,"The toque is the culinary world's term for the tall, white hat worn by a chef. While they often vary in style, ranging from poofy and relaxed to stiff and pleated, they are a staple accessory worn by chefs since the 1820s. Culinary lore says that the number of pleats in the toque counts the number of cooking techniques that a chef has mastered.","The toque is the culinary world's term for the tall, white hat worn by a chef. While they often vary in style, ranging from poofy and relaxed to stiff and pleated, they are a staple accessory worn by chefs since the 1820s. Culinary lore says that the number of pleats in the toque counts the number of cooking techniques that a chef has mastered.","The toque is the culinary world's term for the tall, white hat worn by a chef. While they often vary in style, ranging from poofy and relaxed to stiff and pleated, they are a staple accessory worn by chefs since the 1820s. Culinary lore says that the number of pleats in the toque counts the number of cooking techniques that a chef has mastered.","Sometimes the wheels in a car need to spin at different speeds. For example, when turning, the inside wheel ideally should spin more slowly than the outside wheel. A differential in the middle of an axle allows the left and right wheels to spin at different speeds, even though the engine is delivering a set amount of torque to the axle.","Sometimes the wheels in a car need to spin at different speeds. For example, when turning, the inside wheel ideally should spin more slowly than the outside wheel. A differential in the middle of an axle allows the left and right wheels to spin at different speeds, even though the engine is delivering a set amount of torque to the axle.","Sometimes the wheels in a car need to spin at different speeds. For example, when turning, the inside wheel ideally should spin more slowly than the outside wheel. A differential in the middle of an axle allows the left and right wheels to spin at different speeds, even though the engine is delivering a set amount of torque to the axle.","Saurischian dinosaurs are generally divided again into two subgroups of herbivorous, long-necked Sauropoda, or ""lizard feet"", and mostly carnivorous Theropoda, or ""beast feet"". The first fully documented sauropod, the early Jurassic Cetiosaurus, was unearthed by paleontologist Richard Owen in England in 1842. Because it appeared so unusual, Owen believed it to be a huge crocodile-like marine reptile, so he named it Cetiosaurus, or ""whale lizard"".","Saurischian dinosaurs are generally divided again into two subgroups of herbivorous, long-necked Sauropoda, or ""lizard feet"", and mostly carnivorous Theropoda, or ""beast feet"". The first fully documented sauropod, the early Jurassic Cetiosaurus, was unearthed by paleontologist Richard Owen in England in 1842. Because it appeared so unusual, Owen believed it to be a huge crocodile-like marine reptile, so he named it Cetiosaurus, or ""whale lizard"".","Saurischian dinosaurs are generally divided again into two subgroups of herbivorous, long-necked Sauropoda, or ""lizard feet"", and mostly carnivorous Theropoda, or ""beast feet"". The first fully documented sauropod, the early Jurassic Cetiosaurus, was unearthed by paleontologist Richard Owen in England in 1842. Because it appeared so unusual, Owen believed it to be a huge crocodile-like marine reptile, so he named it Cetiosaurus, or ""whale lizard"".",cook23.mp3,cook23.mp3,cook23.mp3,cars23.mp3,cars23.mp3,cars23.mp3,dino23.mp3,dino23.mp3,dino23.mp3,cook23a.jpeg,cook23a.jpeg,cook23a.jpeg,cars23a.jpeg,cars23a.jpeg,cars23a.jpeg,dino23a.png,dino23a.png,dino23a.png,cook23b.jpeg,cook23b.jpeg,cook23b.jpeg,cars23b.jpeg,cars23b.jpeg,cars23b.jpeg,dino23b.png,dino23b.png,dino23b.png
memorise_secondhalf,47,academic,24,"Some of the most highly prized swords of antiquity were watered steel blades, forged in modern-day India from as early as 400 BCE and exported throughout Asia and Europe. Watered steel was called ""Damascus"" steel by medieval Europeans, perhaps not from the Syrian city but instead from ""damas"", the Arabic word for ""watered"". Watered steel was named for characteristic dark ribbon-like bands on the surface that resemble ripples of water.","Thai classical music is often played by a special percussion and wind ensemble called a piphat. Piphat music features the ranat ek, a wooden xylophone whose bars are strung on ropes. The ropes are suspended above the sound box underneath, allowing the bars of the ranat ek to hang down in a boat-like shape.","Some gems can phosphoresce, or glow in the dark, after being exposed to ultraviolet light. This property relies on the presence of certain heavy metal atoms that can be excited by UV rays, so different colors of the same gemstone may show varying levels of phosphorescence depending on what element gives those gems their color. For example, blue diamonds like the Hope Diamond, but not other colored diamonds, glow red after exposure to UV.","Some of the most highly prized swords of antiquity were watered steel blades, forged in modern-day India from as early as 400 BCE and exported throughout Asia and Europe. Watered steel was called ""Damascus"" steel by medieval Europeans, perhaps not from the Syrian city but instead from ""damas"", the Arabic word for ""watered"". Watered steel was named for characteristic dark ribbon-like bands on the surface that resemble ripples of water.","Thai classical music is often played by a special percussion and wind ensemble called a piphat. Piphat music features the ranat ek, a wooden xylophone whose bars are strung on ropes. The ropes are suspended above the sound box underneath, allowing the bars of the ranat ek to hang down in a boat-like shape.","Some gems can phosphoresce, or glow in the dark, after being exposed to ultraviolet light. This property relies on the presence of certain heavy metal atoms that can be excited by UV rays, so different colors of the same gemstone may show varying levels of phosphorescence depending on what element gives those gems their color. For example, blue diamonds like the Hope Diamond, but not other colored diamonds, glow red after exposure to UV.","Some of the most highly prized swords of antiquity were watered steel blades, forged in modern-day India from as early as 400 BCE and exported throughout Asia and Europe. Watered steel was called ""Damascus"" steel by medieval Europeans, perhaps not from the Syrian city but instead from ""damas"", the Arabic word for ""watered"". Watered steel was named for characteristic dark ribbon-like bands on the surface that resemble ripples of water.","Thai classical music is often played by a special percussion and wind ensemble called a piphat. Piphat music features the ranat ek, a wooden xylophone whose bars are strung on ropes. The ropes are suspended above the sound box underneath, allowing the bars of the ranat ek to hang down in a boat-like shape.","Some gems can phosphoresce, or glow in the dark, after being exposed to ultraviolet light. This property relies on the presence of certain heavy metal atoms that can be excited by UV rays, so different colors of the same gemstone may show varying levels of phosphorescence depending on what element gives those gems their color. For example, blue diamonds like the Hope Diamond, but not other colored diamonds, glow red after exposure to UV.",arms24.mp3,musi24.mp3,gems24.mp3,arms24.mp3,musi24.mp3,gems24.mp3,arms24.mp3,musi24.mp3,gems24.mp3,arms24a.jpeg,musi24a.png,gems24a.jpeg,arms24a.jpeg,musi24a.png,gems24a.jpeg,arms24a.jpeg,musi24a.png,gems24a.jpeg,arms24b.jpeg,musi24b.png,gems24b.jpeg,arms24b.jpeg,musi24b.png,gems24b.jpeg,arms24b.jpeg,musi24b.png,gems24b.jpeg
memorise_secondhalf,48,nonacademic,24,"Marie-Antoine Careme, at one time the personal chef of the French diplomat Talleyrand, is considered by historians to be the Western world's first celebrity chef. Trained as a pastry chef, he published bestselling cookbooks on sweet and savory French haute cuisine, including the five-volume book The Art of 19th Century French Cooking.","Marie-Antoine Careme, at one time the personal chef of the French diplomat Talleyrand, is considered by historians to be the Western world's first celebrity chef. Trained as a pastry chef, he published bestselling cookbooks on sweet and savory French haute cuisine, including the five-volume book The Art of 19th Century French Cooking.","Marie-Antoine Careme, at one time the personal chef of the French diplomat Talleyrand, is considered by historians to be the Western world's first celebrity chef. Trained as a pastry chef, he published bestselling cookbooks on sweet and savory French haute cuisine, including the five-volume book The Art of 19th Century French Cooking.","Springs of various kinds are a key part of vehicle suspensions. A leaf spring is a ""leaf-shaped"" arc of metal attached to the car's axle and body that flexes as the car moves. Leaf springs were first used on horse-drawn carriages in the 1750s. While less common in most cars today, leaf springs are still used on trucks and heavy-duty vehicles.","Springs of various kinds are a key part of vehicle suspensions. A leaf spring is a ""leaf-shaped"" arc of metal attached to the car's axle and body that flexes as the car moves. Leaf springs were first used on horse-drawn carriages in the 1750s. While less common in most cars today, leaf springs are still used on trucks and heavy-duty vehicles.","Springs of various kinds are a key part of vehicle suspensions. A leaf spring is a ""leaf-shaped"" arc of metal attached to the car's axle and body that flexes as the car moves. Leaf springs were first used on horse-drawn carriages in the 1750s. While less common in most cars today, leaf springs are still used on trucks and heavy-duty vehicles.","Known as an ""egg thief,"" Oviraptor was a small carnivorous theropod with no teeth and a stumpy beak, similar to the skull of a parrot. Oviraptor, and the family Oviraptoridae to which it belongs, were originally named because the first Oviraptor specimen was discovered atop a clutch of eggs. Paleontologists believed that it had seized upon a Protoceratops nest to eat the eggs, perhaps with its specialized beak.","Known as an ""egg thief,"" Oviraptor was a small carnivorous theropod with no teeth and a stumpy beak, similar to the skull of a parrot. Oviraptor, and the family Oviraptoridae to which it belongs, were originally named because the first Oviraptor specimen was discovered atop a clutch of eggs. Paleontologists believed that it had seized upon a Protoceratops nest to eat the eggs, perhaps with its specialized beak.","Known as an ""egg thief,"" Oviraptor was a small carnivorous theropod with no teeth and a stumpy beak, similar to the skull of a parrot. Oviraptor, and the family Oviraptoridae to which it belongs, were originally named because the first Oviraptor specimen was discovered atop a clutch of eggs. Paleontologists believed that it had seized upon a Protoceratops nest to eat the eggs, perhaps with its specialized beak.",cook24.mp3,cook24.mp3,cook24.mp3,cars24.mp3,cars24.mp3,cars24.mp3,dino24.mp3,dino24.mp3,dino24.mp3,cook24a.jpeg,cook24a.jpeg,cook24a.jpeg,cars24a.jpeg,cars24a.jpeg,cars24a.jpeg,dino24a.jpeg,dino24a.jpeg,dino24a.jpeg,cook24b.jpeg,cook24b.jpeg,cook24b.jpeg,cars24b.png,cars24b.png,cars24b.png,dino24b.jpeg,dino24b.jpeg,dino24b.jpeg
memorise_secondhalf,49,academic,25,"""Scimitar"" describes a whole family of central Asian single-edged swords with curved blades dating from as early as the 9th century CE. However, the term ""scimitar"" likely derives from the Persian shamshir, or ""lion's fang"", a specific sword in the scimitar family with a wide hilt guard and strongly curved blade,.","One of the first recorded keyboard instruments was the ancient Greek hydraulis, a water-powered pipe organ. It is believed to have been invented in the 3rd century BCE by Ctesibius of Alexandria, who may have been attempting to invent a method to sound multiple panflutes at once. Its technical complexity made it an expensive instrument restrained to the theater and the homes of wealthy Greeks.","The color of some gemstones can be altered by treating the stones with heat. For stones that may be mined in a variety of colors, stones of a less desirable color may be heated to yield a more valuable color. For example, citrine, or golden-colored quartz, is very rare in nature. Most commercially available citrine is still quartz, but specifically purple amethyst that has been heat-treated to a yellow-orange color.","""Scimitar"" describes a whole family of central Asian single-edged swords with curved blades dating from as early as the 9th century CE. However, the term ""scimitar"" likely derives from the Persian shamshir, or ""lion's fang"", a specific sword in the scimitar family with a wide hilt guard and strongly curved blade,.","One of the first recorded keyboard instruments was the ancient Greek hydraulis, a water-powered pipe organ. It is believed to have been invented in the 3rd century BCE by Ctesibius of Alexandria, who may have been attempting to invent a method to sound multiple panflutes at once. Its technical complexity made it an expensive instrument restrained to the theater and the homes of wealthy Greeks.","The color of some gemstones can be altered by treating the stones with heat. For stones that may be mined in a variety of colors, stones of a less desirable color may be heated to yield a more valuable color. For example, citrine, or golden-colored quartz, is very rare in nature. Most commercially available citrine is still quartz, but specifically purple amethyst that has been heat-treated to a yellow-orange color.","""Scimitar"" describes a whole family of central Asian single-edged swords with curved blades dating from as early as the 9th century CE. However, the term ""scimitar"" likely derives from the Persian shamshir, or ""lion's fang"", a specific sword in the scimitar family with a wide hilt guard and strongly curved blade,.","One of the first recorded keyboard instruments was the ancient Greek hydraulis, a water-powered pipe organ. It is believed to have been invented in the 3rd century BCE by Ctesibius of Alexandria, who may have been attempting to invent a method to sound multiple panflutes at once. Its technical complexity made it an expensive instrument restrained to the theater and the homes of wealthy Greeks.","The color of some gemstones can be altered by treating the stones with heat. For stones that may be mined in a variety of colors, stones of a less desirable color may be heated to yield a more valuable color. For example, citrine, or golden-colored quartz, is very rare in nature. Most commercially available citrine is still quartz, but specifically purple amethyst that has been heat-treated to a yellow-orange color.",arms25.mp3,musi25.mp3,gems25.mp3,arms25.mp3,musi25.mp3,gems25.mp3,arms25.mp3,musi25.mp3,gems25.mp3,arms25a.png,musi25a.png,gems25a.jpeg,arms25a.png,musi25a.png,gems25a.jpeg,arms25a.png,musi25a.png,gems25a.jpeg,arms25b.jpeg,musi25b.png,gems25b.png,arms25b.jpeg,musi25b.png,gems25b.png,arms25b.jpeg,musi25b.png,gems25b.png
