display,trial_num,block_trial_num,group,encoding_block,randomise_blocks,randomise_trials,test_question.arms_cook,test_question.musi_cook,test_question.gems_cook,test_question.arms_cars,test_question.musi_cars,test_question.gems_cars,test_question.arms_dino,test_question.musi_dino,test_question.gems_dino,test_answer.arms_cook,test_answer.musi_cook,test_answer.gems_cook,test_answer.arms_cars,test_answer.musi_cars,test_answer.gems_cars,test_answer.arms_dino,test_answer.musi_dino,test_answer.gems_dino
instructions,,,,,,,,,,,,,,,,,,,,,,,,
test,1,1,academic,early,1,1,"The spear-thrower, used by many Stone Age cultures, is also known by what other name in American English?",Cymbals are a member of which of the five Hornbostel-Sachs instrument classes?,Gemstone breakage along a flat plane is known by what term?,"The spear-thrower, used by many Stone Age cultures, is also known by what other name in American English?",Cymbals are a member of which of the five Hornbostel-Sachs instrument classes?,Gemstone breakage along a flat plane is known by what term?,"The spear-thrower, used by many Stone Age cultures, is also known by what other name in American English?",Cymbals are a member of which of the five Hornbostel-Sachs instrument classes?,Gemstone breakage along a flat plane is known by what term?,atlatl,idiophone,"cleave, cleavage",atlatl,idiophone,"cleave, cleavage",atlatl,idiophone,"cleave, cleavage"
test,2,2,academic,early,1,1,Which prehistoric bladed weapon has the blade mounted perpendicular to the handle?,Timpanis are a member of which of the five Hornbostel-Sachs instrument classes?,What do the ridges on conchoidal-fractured gemstones resemble?,Which prehistoric bladed weapon has the blade mounted perpendicular to the handle?,Timpanis are a member of which of the five Hornbostel-Sachs instrument classes?,What do the ridges on conchoidal-fractured gemstones resemble?,Which prehistoric bladed weapon has the blade mounted perpendicular to the handle?,Timpanis are a member of which of the five Hornbostel-Sachs instrument classes?,What do the ridges on conchoidal-fractured gemstones resemble?,adze,membranophone,shells,adze,membranophone,shells,adze,membranophone,shells
test,3,3,academic,early,1,1,What term is used to describe the process of shaving down a piece of flint to a sharp edge?,Pianos and harpsichords are a member of which of the five Hornbostel-Sachs instrument classes?,Gemstones found with irregular shapes and no obvious crystal structure are in what form?,What term is used to describe the process of shaving down a piece of flint to a sharp edge?,Pianos and harpsichords are a member of which of the five Hornbostel-Sachs instrument classes?,Gemstones found with irregular shapes and no obvious crystal structure are in what form?,What term is used to describe the process of shaving down a piece of flint to a sharp edge?,Pianos and harpsichords are a member of which of the five Hornbostel-Sachs instrument classes?,Gemstones found with irregular shapes and no obvious crystal structure are in what form?,knapping,chordophone,massive,knapping,chordophone,massive,knapping,chordophone,massive
test,4,4,academic,early,1,1,10th century Anglo-Saxons believed that Stone Age arrowheads were evidence of what mythical cause of stabbing pains?,Accordions are a member of which of the five Hornbostel-Sachs instrument classes?,What well-known gemstone has a triclinic system?,10th century Anglo-Saxons believed that Stone Age arrowheads were evidence of what mythical cause of stabbing pains?,Accordions are a member of which of the five Hornbostel-Sachs instrument classes?,What well-known gemstone has a triclinic system?,10th century Anglo-Saxons believed that Stone Age arrowheads were evidence of what mythical cause of stabbing pains?,Accordions are a member of which of the five Hornbostel-Sachs instrument classes?,What well-known gemstone has a triclinic system?,elfshot,aerophone,turquoise,elfshot,aerophone,turquoise,elfshot,aerophone,turquoise
test,5,5,academic,early,1,1,What ancient culture was the first to maintain a standing army in the 14th century BCE?,Synthesizers are a member of which of the five Hornbostel-Sachs instrument classes?,What well-known gemstone has a monoclinic system?,What ancient culture was the first to maintain a standing army in the 14th century BCE?,Synthesizers are a member of which of the five Hornbostel-Sachs instrument classes?,What well-known gemstone has a monoclinic system?,What ancient culture was the first to maintain a standing army in the 14th century BCE?,Synthesizers are a member of which of the five Hornbostel-Sachs instrument classes?,What well-known gemstone has a monoclinic system?,Assyrians,electrophone,jade,Assyrians,electrophone,jade,Assyrians,electrophone,jade
test,1,1,nonacademic,early,2,2,What dish is made of meat or vegetable stock set in a solid jelly?,What dish is made of meat or vegetable stock set in a solid jelly?,What dish is made of meat or vegetable stock set in a solid jelly?,The four-stroke combustion cycle is also named after which engineer?,The four-stroke combustion cycle is also named after which engineer?,The four-stroke combustion cycle is also named after which engineer?,"What is the technical name for trace fossils such as tracks, eggs, and tooth marks?","What is the technical name for trace fossils such as tracks, eggs, and tooth marks?","What is the technical name for trace fossils such as tracks, eggs, and tooth marks?",aspic,aspic,aspic,Otto,Otto,Otto,ichnofossils,ichnofossils,ichnofossils
test,2,2,nonacademic,early,2,2,Which type of mushroom has a bluish-lavender color and gives off an earthy flavor?,Which type of mushroom has a bluish-lavender color and gives off an earthy flavor?,Which type of mushroom has a bluish-lavender color and gives off an earthy flavor?,"The four-stroke cycle includes the intake, compression, combustion, and which fourth stroke?","The four-stroke cycle includes the intake, compression, combustion, and which fourth stroke?","The four-stroke cycle includes the intake, compression, combustion, and which fourth stroke?",Which is the only type of rock that has enough radioactive atoms to allow radiometric dating?,Which is the only type of rock that has enough radioactive atoms to allow radiometric dating?,Which is the only type of rock that has enough radioactive atoms to allow radiometric dating?,blewit,blewit,blewit,exhaust,exhaust,exhaust,igneous,igneous,igneous
test,3,3,nonacademic,early,2,2,What wild onion is often confused for scallions and leeks?,What wild onion is often confused for scallions and leeks?,What wild onion is often confused for scallions and leeks?,"Engine cylinders may be arranged either in a V, or what other arrangement?","Engine cylinders may be arranged either in a V, or what other arrangement?","Engine cylinders may be arranged either in a V, or what other arrangement?",What two elements are commonly used together for radiometric dating of rocks up to billions of years old?,What two elements are commonly used together for radiometric dating of rocks up to billions of years old?,What two elements are commonly used together for radiometric dating of rocks up to billions of years old?,ramp,ramp,ramp,inline,inline,inline,"potassium, argon","potassium, argon","potassium, argon"
test,4,4,nonacademic,early,2,2,What special metal straw is used to strain out leaves when making a traditional mate?,What special metal straw is used to strain out leaves when making a traditional mate?,What special metal straw is used to strain out leaves when making a traditional mate?,"Unlike modern cars, pre-1999 models of what car used air to cool their engines?","Unlike modern cars, pre-1999 models of what car used air to cool their engines?","Unlike modern cars, pre-1999 models of what car used air to cool their engines?",What subfield of geology studies the formation and composition of rock layers?,What subfield of geology studies the formation and composition of rock layers?,What subfield of geology studies the formation and composition of rock layers?,bombilla,bombilla,bombilla,Volkswagen Beetle,Volkswagen Beetle,Volkswagen Beetle,stratigraphy,stratigraphy,stratigraphy
test,5,5,nonacademic,early,2,2,What is the cutting technique where foods are stacked then cut into matchlike strips?,What is the cutting technique where foods are stacked then cut into matchlike strips?,What is the cutting technique where foods are stacked then cut into matchlike strips?,Which inventor coined the term horsepower?,Which inventor coined the term horsepower?,Which inventor coined the term horsepower?,Fossils found worldwide that originate from a very specific time period are known by what descriptor?,Fossils found worldwide that originate from a very specific time period are known by what descriptor?,Fossils found worldwide that originate from a very specific time period are known by what descriptor?,julienne,julienne,julienne,James Watt,James Watt,James Watt,index fossil,index fossil,index fossil
test,21,1,academic,late,3,3,"A spur is composed of the shank, spur-neck, and which other wheel-shaped part?",What rattle was played to worship the ancient Egyptian goddess Hathor?,"What gemstone commonly exhibits multicolor striping, including a pink and green ""watermelon"" pattern?","A spur is composed of the shank, spur-neck, and which other wheel-shaped part?",What rattle was played to worship the ancient Egyptian goddess Hathor?,"What gemstone commonly exhibits multicolor striping, including a pink and green ""watermelon"" pattern?","A spur is composed of the shank, spur-neck, and which other wheel-shaped part?",What rattle was played to worship the ancient Egyptian goddess Hathor?,"What gemstone commonly exhibits multicolor striping, including a pink and green ""watermelon"" pattern?",rowel,sistrum,tourmaline,rowel,sistrum,tourmaline,rowel,sistrum,tourmaline
test,22,2,academic,late,3,3,What counterweight on the end of a sword hilt balances the heft of the blade?,Russian Orthodox church bells are traditionally cast from a mix of bronze and what metal?,"While luster typically cannot identify gems, the look of a cut diamond defines what type of luster?",What counterweight on the end of a sword hilt balances the heft of the blade?,Russian Orthodox church bells are traditionally cast from a mix of bronze and what metal?,"While luster typically cannot identify gems, the look of a cut diamond defines what type of luster?",What counterweight on the end of a sword hilt balances the heft of the blade?,Russian Orthodox church bells are traditionally cast from a mix of bronze and what metal?,"While luster typically cannot identify gems, the look of a cut diamond defines what type of luster?",pommel,silver,adamantine,pommel,silver,adamantine,pommel,silver,adamantine
test,23,3,academic,late,3,3,What is the section of a metal sword blade that continues into the hilt?,What instrument from modern-day Zimbabwe is informally also known as the thumb piano?,What form of light interference looks like light is shimmering beneath the surface of a gemstone?,What is the section of a metal sword blade that continues into the hilt?,What instrument from modern-day Zimbabwe is informally also known as the thumb piano?,What form of light interference looks like light is shimmering beneath the surface of a gemstone?,What is the section of a metal sword blade that continues into the hilt?,What instrument from modern-day Zimbabwe is informally also known as the thumb piano?,What form of light interference looks like light is shimmering beneath the surface of a gemstone?,tang,mbira,schiller,tang,mbira,schiller,tang,mbira,schiller
test,24,4,academic,late,3,3,"Watered steel, prized for sword blades since 400 BCE, was alternatively named for what city?",What Thai xylophone has bars suspended on ropes in a boat-like shape?,Blue diamonds like the Hope Diamond glow what color after being exposed to ultraviolet light?,"Watered steel, prized for sword blades since 400 BCE, was alternatively named for what city?",What Thai xylophone has bars suspended on ropes in a boat-like shape?,Blue diamonds like the Hope Diamond glow what color after being exposed to ultraviolet light?,"Watered steel, prized for sword blades since 400 BCE, was alternatively named for what city?",What Thai xylophone has bars suspended on ropes in a boat-like shape?,Blue diamonds like the Hope Diamond glow what color after being exposed to ultraviolet light?,Damascus,ranat ek,red,Damascus,ranat ek,red,Damascus,ranat ek,red
test,25,5,academic,late,3,3,"The English term ""scimitar"" likely derives from the name of what specific Persian sword?",What ancient Greek pipe organ was one of the first recorded keyboard instruments?,"Most ""citrine"" sold today is not naturally occurring, but is instead a heat-treated version of what other gemstone?","The English term ""scimitar"" likely derives from the name of what specific Persian sword?",What ancient Greek pipe organ was one of the first recorded keyboard instruments?,"Most ""citrine"" sold today is not naturally occurring, but is instead a heat-treated version of what other gemstone?","The English term ""scimitar"" likely derives from the name of what specific Persian sword?",What ancient Greek pipe organ was one of the first recorded keyboard instruments?,"Most ""citrine"" sold today is not naturally occurring, but is instead a heat-treated version of what other gemstone?",shamshir,hydraulis,amethyst,shamshir,hydraulis,amethyst,shamshir,hydraulis,amethyst
test,21,1,nonacademic,late,4,4,What is the the white layer between the flesh and peel of a citrus fruit?,What is the the white layer between the flesh and peel of a citrus fruit?,What is the the white layer between the flesh and peel of a citrus fruit?,What powdery material was used to lubricate the fabric of older vehicle airbags?,What powdery material was used to lubricate the fabric of older vehicle airbags?,What powdery material was used to lubricate the fabric of older vehicle airbags?,What layer of bone distinguishes pregnant female dinosaurs from other dinosaurs?,What layer of bone distinguishes pregnant female dinosaurs from other dinosaurs?,What layer of bone distinguishes pregnant female dinosaurs from other dinosaurs?,pith,pith,pith,talcum powder,talcum powder,talcum powder,medullary bone,medullary bone,medullary bone
test,22,2,nonacademic,late,4,4,What clay vessel is used in parts of North Africa to cook eponymous stews?,What clay vessel is used in parts of North Africa to cook eponymous stews?,What clay vessel is used in parts of North Africa to cook eponymous stews?,What auto part protects a car's ignition from being hot-wired?,What auto part protects a car's ignition from being hot-wired?,What auto part protects a car's ignition from being hot-wired?,Birds are descended from which hip-defined sub-group of dinosaurs?,Birds are descended from which hip-defined sub-group of dinosaurs?,Birds are descended from which hip-defined sub-group of dinosaurs?,tagine,tagine,tagine,immobilizer,immobilizer,immobilizer,saurischia,saurischia,saurischia
test,23,3,nonacademic,late,4,4,What is the technical term for a chef's hat?,What is the technical term for a chef's hat?,What is the technical term for a chef's hat?,What part allows a car's wheels to turn at different speeds?,What part allows a car's wheels to turn at different speeds?,What part allows a car's wheels to turn at different speeds?,What long-necked sauropod was originally believed to be an aquatic crocodile-like reptile when it was first discovered?,What long-necked sauropod was originally believed to be an aquatic crocodile-like reptile when it was first discovered?,What long-necked sauropod was originally believed to be an aquatic crocodile-like reptile when it was first discovered?,toque,toque,toque,differential,differential,differential,Cetiosaurus,Cetiosaurus,Cetiosaurus
test,24,4,nonacademic,late,4,4,Which 19th century French pastry chef and cookbook author is considered one of the first celebrity chefs?,Which 19th century French pastry chef and cookbook author is considered one of the first celebrity chefs?,Which 19th century French pastry chef and cookbook author is considered one of the first celebrity chefs?,What suspension spring was first used in 18th century horse-drawn carriages?,What suspension spring was first used in 18th century horse-drawn carriages?,What suspension spring was first used in 18th century horse-drawn carriages?,The Oviraptor's distinct skull resembles that of which modern animal?,The Oviraptor's distinct skull resembles that of which modern animal?,The Oviraptor's distinct skull resembles that of which modern animal?,Marie-Antoine Careme,Marie-Antoine Careme,Marie-Antoine Careme,leaf spring,leaf spring,leaf spring,parrot,parrot,parrot
test,25,5,nonacademic,late,4,4,What small dumplings are traditionally eaten across central and western Asia?,What small dumplings are traditionally eaten across central and western Asia?,What small dumplings are traditionally eaten across central and western Asia?,What is the most common front suspension system in modern passenger cars?,What is the most common front suspension system in modern passenger cars?,What is the most common front suspension system in modern passenger cars?,A fossil of Citipati guarding its nest at the American Museum of Natural History is best known by what nickname?,A fossil of Citipati guarding its nest at the American Museum of Natural History is best known by what nickname?,A fossil of Citipati guarding its nest at the American Museum of Natural History is best known by what nickname?,manti,manti,manti,MacPherson strut,MacPherson strut,MacPherson strut,Big Mama,Big Mama,Big Mama
test,6,1,academic,early,5,1,Which ancient Greek infantrymen were known for their round shields covering from the shoulder to the knees?,What Islamic instrument was the earliest known bowed string instrument?,What three dimensional shape do the axes of orthorhombic crystals make?,Which ancient Greek infantrymen were known for their round shields covering from the shoulder to the knees?,What Islamic instrument was the earliest known bowed string instrument?,What three dimensional shape do the axes of orthorhombic crystals make?,Which ancient Greek infantrymen were known for their round shields covering from the shoulder to the knees?,What Islamic instrument was the earliest known bowed string instrument?,What three dimensional shape do the axes of orthorhombic crystals make?,hoplite,rabab,rectangular prism,hoplite,rabab,rectangular prism,hoplite,rabab,rectangular prism
