display,trial_num,randomise_trials,group,pic_c.arms_cook,pic_c.musi_cook,pic_c.gems_cook,pic_c.arms_cars,pic_c.musi_cars,pic_c.gems_cars,pic_c.arms_dino,pic_c.musi_dino,pic_c.gems_dino,pic_d.arms_cook,pic_d.musi_cook,pic_d.gems_cook,pic_d.arms_cars,pic_d.musi_cars,pic_d.gems_cars,pic_d.arms_dino,pic_d.musi_dino,pic_d.gems_dino
mem_intrusion_instructions,,,,,,,,,,,,,,,,,,,,,
mem_intrusion,1,1,nonacademic,cook19a.jpeg,cook19a.jpeg,cook19a.jpeg,cars6a.jpeg,cars6a.jpeg,cars6a.jpeg,dino20a.png,dino20a.png,dino20a.png,cook19b.jpeg,cook19b.jpeg,cook19b.jpeg,cars6b.png,cars6b.png,cars6b.png,dino20b.png,dino20b.png,dino20b.png
mem_intrusion,2,1,nonacademic,cook22b.jpeg,cook22b.jpeg,cook22b.jpeg,cars28b.jpeg,cars28b.jpeg,cars28b.jpeg,dino36b.jpeg,dino36b.jpeg,dino36b.jpeg,cook22a.jpeg,cook22a.jpeg,cook22a.jpeg,cars28a.jpeg,cars28a.jpeg,cars28a.jpeg,dino36a.jpeg,dino36a.jpeg,dino36a.jpeg
mem_intrusion,3,1,nonacademic,cook36b.jpeg,cook36b.jpeg,cook36b.jpeg,cars39b.jpeg,cars39b.jpeg,cars39b.jpeg,dino35b.jpeg,dino35b.jpeg,dino35b.jpeg,cook36a.jpeg,cook36a.jpeg,cook36a.jpeg,cars39a.jpeg,cars39a.jpeg,cars39a.jpeg,dino35a.jpeg,dino35a.jpeg,dino35a.jpeg
mem_intrusion,4,1,nonacademic,cook5a.jpeg,cook5a.jpeg,cook5a.jpeg,cars31b.jpeg,cars31b.jpeg,cars31b.jpeg,dino18a.png,dino18a.png,dino18a.png,cook5b.png,cook5b.png,cook5b.png,cars31a.jpeg,cars31a.jpeg,cars31a.jpeg,dino18b.png,dino18b.png,dino18b.png
mem_intrusion,5,1,nonacademic,cook30b.jpeg,cook30b.jpeg,cook30b.jpeg,cars14a.jpeg,cars14a.jpeg,cars14a.jpeg,dino5a.png,dino5a.png,dino5a.png,cook30a.jpeg,cook30a.jpeg,cook30a.jpeg,cars14b.jpeg,cars14b.jpeg,cars14b.jpeg,dino5b.png,dino5b.png,dino5b.png
mem_intrusion,6,1,nonacademic,cook15a.jpeg,cook15a.jpeg,cook15a.jpeg,cars3a.jpeg,cars3a.jpeg,cars3a.jpeg,dino31b.png,dino31b.png,dino31b.png,cook15b.jpeg,cook15b.jpeg,cook15b.jpeg,cars3b.jpeg,cars3b.jpeg,cars3b.jpeg,dino31a.jpeg,dino31a.jpeg,dino31a.jpeg
mem_intrusion,7,1,nonacademic,cook17a.jpeg,cook17a.jpeg,cook17a.jpeg,cars20a.jpeg,cars20a.jpeg,cars20a.jpeg,dino24b.jpeg,dino24b.jpeg,dino24b.jpeg,cook17b.jpeg,cook17b.jpeg,cook17b.jpeg,cars20b.jpeg,cars20b.jpeg,cars20b.jpeg,dino24a.jpeg,dino24a.jpeg,dino24a.jpeg
mem_intrusion,8,1,nonacademic,cook11a.jpeg,cook11a.jpeg,cook11a.jpeg,cars1a.jpeg,cars1a.jpeg,cars1a.jpeg,dino32b.jpeg,dino32b.jpeg,dino32b.jpeg,cook11b.jpeg,cook11b.jpeg,cook11b.jpeg,cars1b.jpeg,cars1b.jpeg,cars1b.jpeg,dino32a.jpeg,dino32a.jpeg,dino32a.jpeg
mem_intrusion,9,1,nonacademic,cook21b.jpeg,cook21b.jpeg,cook21b.jpeg,cars33b.jpeg,cars33b.jpeg,cars33b.jpeg,dino29b.jpeg,dino29b.jpeg,dino29b.jpeg,cook21a.jpeg,cook21a.jpeg,cook21a.jpeg,cars33a.jpeg,cars33a.jpeg,cars33a.jpeg,dino29a.png,dino29a.png,dino29a.png
mem_intrusion,10,1,nonacademic,cook13a.jpeg,cook13a.jpeg,cook13a.jpeg,cars25b.jpeg,cars25b.jpeg,cars25b.jpeg,dino9a.jpeg,dino9a.jpeg,dino9a.jpeg,cook13b.png,cook13b.png,cook13b.png,cars25a.jpeg,cars25a.jpeg,cars25a.jpeg,dino9b.jpeg,dino9b.jpeg,dino9b.jpeg
mem_intrusion,11,1,nonacademic,cook2a.jpeg,cook2a.jpeg,cook2a.jpeg,cars27b.jpeg,cars27b.jpeg,cars27b.jpeg,dino28b.png,dino28b.png,dino28b.png,cook2b.png,cook2b.png,cook2b.png,cars27a.jpeg,cars27a.jpeg,cars27a.jpeg,dino28a.jpeg,dino28a.jpeg,dino28a.jpeg
mem_intrusion,12,1,nonacademic,cook23b.jpeg,cook23b.jpeg,cook23b.jpeg,cars38b.jpeg,cars38b.jpeg,cars38b.jpeg,dino17a.png,dino17a.png,dino17a.png,cook23a.jpeg,cook23a.jpeg,cook23a.jpeg,cars38a.jpeg,cars38a.jpeg,cars38a.jpeg,dino17b.png,dino17b.png,dino17b.png
mem_intrusion,13,1,nonacademic,cook10a.jpeg,cook10a.jpeg,cook10a.jpeg,cars30b.jpeg,cars30b.jpeg,cars30b.jpeg,dino23b.png,dino23b.png,dino23b.png,cook10b.jpeg,cook10b.jpeg,cook10b.jpeg,cars30a.jpeg,cars30a.jpeg,cars30a.jpeg,dino23a.png,dino23a.png,dino23a.png
mem_intrusion,14,1,nonacademic,cook4a.jpeg,cook4a.jpeg,cook4a.jpeg,cars24b.png,cars24b.png,cars24b.png,dino1a.jpeg,dino1a.jpeg,dino1a.jpeg,cook4b.jpeg,cook4b.jpeg,cook4b.jpeg,cars24a.jpeg,cars24a.jpeg,cars24a.jpeg,dino1b.jpeg,dino1b.jpeg,dino1b.jpeg
mem_intrusion,15,1,nonacademic,cook35b.jpeg,cook35b.jpeg,cook35b.jpeg,cars34b.jpeg,cars34b.jpeg,cars34b.jpeg,dino37b.jpeg,dino37b.jpeg,dino37b.jpeg,cook35a.jpeg,cook35a.jpeg,cook35a.jpeg,cars34a.jpeg,cars34a.jpeg,cars34a.jpeg,dino37a.jpeg,dino37a.jpeg,dino37a.jpeg
mem_intrusion,16,1,nonacademic,cook28b.jpeg,cook28b.jpeg,cook28b.jpeg,cars22b.jpg,cars22b.jpg,cars22b.jpg,dino8a.jpeg,dino8a.jpeg,dino8a.jpeg,cook28a.jpeg,cook28a.jpeg,cook28a.jpeg,cars22a.jpg,cars22a.jpg,cars22a.jpg,dino8b.jpeg,dino8b.jpeg,dino8b.jpeg
mem_intrusion,17,1,nonacademic,cook24b.jpeg,cook24b.jpeg,cook24b.jpeg,cars32b.jpeg,cars32b.jpeg,cars32b.jpeg,dino19a.jpeg,dino19a.jpeg,dino19a.jpeg,cook24a.jpeg,cook24a.jpeg,cook24a.jpeg,cars32a.jpeg,cars32a.jpeg,cars32a.jpeg,dino19b.png,dino19b.png,dino19b.png
